habitat,slope
bedrock,-2.4015562657330567
bedrock,-2.75044251823818
bedrock,-2.48676863820985
bedrock,-2.4875408971853554
bedrock,-2.611672472330355
bedrock,-2.9829092473244385
bedrock,-2.9878112876830785
bedrock,-3.1102850998493072
bedrock,-3.3500816140223457
bedrock,-3.3510173411959085
bedrock,-3.443322103898112
bedrock,-3.4589909853082776
bedrock,-3.790261048621242
bedrock,-3.2202061591173723
bedrock,-3.298049926902742
bedrock,-2.8727190113119914
bedrock,-2.800396280587721
bedrock,-3.4061717326438488
bedrock,-3.403286163192542
bedrock,-3.3479533070669176
bedrock,-3.2972014758083525
bedrock,-3.245560894406571
bedrock,-3.0291776451267562
bedrock,-2.4557913674715026
bedrock,-2.1630404378423265
bedrock,-2.8693581941252737
bedrock,-3.276120240016057
bedrock,-2.972727881520125
bedrock,-2.71735909296476
bedrock,-3.106686960089278
bedrock,-2.9654576836705195
bedrock,-2.822272171650789
bedrock,-2.941260129620415
bedrock,-3.1806428385237044
bedrock,-2.4192909025018023
bedrock,-3.314277189451826
bedrock,-3.069854076080144
bedrock,-2.203561423307454
bedrock,-3.131085473494435
bedrock,-3.3083191501630966
bedrock,-3.523762529513373
bedrock,-2.8566212781499516
bedrock,-2.8380332588652126
bedrock,-2.5883931703633563
bedrock,-2.421060465490786
bedrock,-1.8880766250783172
bedrock,-1.9581972159312475
bedrock,-2.901025183287817
bedrock,-3.0099066666642926
bedrock,-2.7954896045051916
bedrock,-2.722666222188526
bedrock,-2.8496912868925386
bedrock,-2.6758040463434436
bedrock,-3.319644589116527
bedrock,-3.2562917349151568
bedrock,-2.7351444304421055
bedrock,-2.7604324121306956
bedrock,-3.0100049074540616
bedrock,-2.7890924083785222
bedrock,-3.044251241721732
bedrock,-2.5128016220696727
bedrock,-2.351486013949007
bedrock,-1.8499132630018515
bedrock,-2.87748459116974
bedrock,-2.5856193945675074
bedrock,-2.5198007724872333
bedrock,-2.720692444655535
bedrock,-2.6897677690746997
bedrock,-2.8919497920846933
bedrock,-3.504423797747762
bedrock,-3.1710576244054227
bedrock,-3.5714914979445838
bedrock,-3.310200531760637
bedrock,-3.2014113337531596
bedrock,-3.2559170315958896
bedrock,-3.383765695155613
bedrock,-3.3678828167236423
bedrock,-2.252736267004
bedrock,-2.661952954745892
bedrock,-2.524130605622779
bedrock,-2.049744711396713
bedrock,-2.7035018832627107
bedrock,-3.029893129251264
bedrock,-3.026173281986772
bedrock,-2.7847356736881874
bedrock,-3.0726618924412272
bedrock,-2.3526938669394317
bedrock,-3.42024067068827
bedrock,-3.2218983571584343
bedrock,-3.7144063108776697
bedrock,-3.309142461284035
bedrock,-3.9187040143448164
bedrock,-3.9139332848477055
bedrock,-3.7274613935192007
bedrock,-2.9253572366678084
bedrock,-3.0535196029776817
bedrock,-3.189954575175968
bedrock,-2.732606757981383
bedrock,-2.7261527885194154
bedrock,-3.255766063573536
bedrock,-3.0315633998415965
bedrock,-3.3745750128443075
bedrock,-3.5944395869796457
bedrock,-2.7307209218087105
bedrock,-2.74005112987222
bedrock,-2.9563425384463526
bedrock,-3.853113816332822
bedrock,-2.831920499728178
bedrock,-2.7568122884254165
bedrock,-2.380034414154829
bedrock,-2.790202197866015
bedrock,-3.57084099098558
bedrock,-3.496002966880683
bedrock,-3.3018208094929653
bedrock,-3.351433536465384
bedrock,-3.1172507099922053
bedrock,-3.1652762363719287
bedrock,-3.0596432337616375
bedrock,-3.386085597828141
bedrock,-3.221511607268019
bedrock,-3.4271403850903943
bedrock,-3.1644871085001136
bedrock,-3.2072713175718763
bedrock,-3.3792882799487267
bedrock,-2.873179769689611
bedrock,-2.7242697545074943
bedrock,-2.989431177417584
bedrock,-2.7309425091352084
bedrock,-2.67472373639444
bedrock,-3.049348939754681
bedrock,-3.081230629895233
bedrock,-2.7080091142137563
bedrock,-2.925458502363209
