species,animal,habitat,sex,slope,hab_slope,site
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.920171151,-2.385477128,BARR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.888533167,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.993075759,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.048866767,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.105690572,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.955855244,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.897371251,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.078569893,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.942149652,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.938246123,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.989644762,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.991574645,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.029161355,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.940536892,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.96675293,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.066549652,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.114620106,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.948121328,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.874861337,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.92412024,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.951377486,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-5.040852973,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-5.017402345,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.993791774,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.99274125,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.932908122,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.954792712,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-5.003491132,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.717874349,-2.385477128,EFBR
