species,animal,habitat,sex,slope,hab_slope,site
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.191218133,-2.345457297,BARR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.143829253,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.365163954,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.526176657,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.333740216,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.385481939,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.336378569,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.390834749,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.202290317,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.277615095,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.355165912,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.307447984,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.225980485,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.20589136,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.274004394,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.372457049,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.257568546,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.219773778,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.261176203,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.273389063,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.200134681,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.22610271,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.245985698,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.451638941,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.155573623,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.285829922,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.241764421,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.283218585,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.321623557,-2.345457297,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.163672602,-2.345457297,EFBR
